Host_ReportedName,IUCNsp_recognized,IUCN_name,host_type,host_stage,taxon_level,database_genus,order_name,family_name,genus_name,category,synonymization_source,host_stage_source
Peromyscus,YES,Peromyscus,WILD,intermediate,genus,Peromyscus,RODENTIA,CRICETIDAE,Peromyscus,NA,,
Peromyscus maniculatus,YES,Peromyscus maniculatus,WILD,intermediate,species,Peromyscus,RODENTIA,CRICETIDAE,Peromyscus,LC,,
Pig,NO,Sus domesticus,DOMESTIC,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,NA,,
pig,NO,Sus domesticus,DOMESTIC,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,NA,,
Poliocitellus franklinii,YES,Poliocitellus franklinii,WILD,intermediate,species,Poliocitellus,RODENTIA,SCIURIDAE,Poliocitellus,LC,,
Procyon lotor,YES,Procyon lotor,WILD,unknown,species,Procyon,CARNIVORA,PROCYONIDAE,Procyon,LC,,
Pteromys volans,YES,Pteromys volans,WILD,intermediate,species,Pteromys,RODENTIA,SCIURIDAE,Pteromys,LC,,
Pteromys volans orii,YES,Pteromys volans,WILD,intermediate,species,Pteromys,RODENTIA,SCIURIDAE,Pteromys,LC,,
Rangifer tarandus,YES,Rangifer tarandus,WILD,deadend,species,Rangifer,CETARTIODACTYLA,CERVIDAE,Rangifer,VU,,
rat,YES,Rattus norvegicus,WILD,intermediate,species,Rattus,RODENTIA,MURIDAE,Rattus,LC,,
Rattus norvegicus,YES,Rattus norvegicus,WILD,intermediate,species,Rattus,RODENTIA,MURIDAE,Rattus,LC,,
red fox,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Rhombomys opimus,YES,Rhombomys opimus,WILD,intermediate,species,Rhombomys,RODENTIA,MURIDAE,Rhombomys,LC,,
Rodentia,YES,RODENTIA,WILD,intermediate,order,none,RODENTIA,NA,NA,NA,,
"Rodents (Microtus fuscus, Microtus limnophilus, Cricetulus kamensis)",YES,CRICETIDAE,WILD,intermediate,family,NA,RODENTIA,CRICETIDAE,NA,NA,,
Sigmodon hispidus,YES,Sigmodon hispidus,WILD,intermediate,species,Sigmodon,RODENTIA,CRICETIDAE,Sigmodon,LC,,
Sorex,Yes,Sorex,WILD,intermediate,genus,Sorex,EULIPOTYPHYLA,SORICIDAE,Sorex,NA,,
Sorex jacksoni,YES,Sorex jacksoni,WILD,intermediate,species,Sorex,EULIPOTYPHLA,SORICIDAE,Sorex,LC,,
Sorex sp,Yes,Sorex,WILD,not_detected,genus,Sorex,EULIPOTYPHYLA,SORICIDAE,Sorex,NA,,
Spermophilus erythrogenys,YES,Spermophilus erythrogenys,WILD,intermediate,species,Spermophilus,RODENTIA,SCIURIDAE,Spermophilus,LC,,
Sus domesticus,NO,Sus domesticus,DOMESTIC,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,NA,,
Sus scrofa,YES,Sus scrofa,WILD,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,LC,,
Sus scrofa domesticus,NO,Sus domesticus,DOMESTIC,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,NA,,
Urocitellus parryii,YES,Urocitellus parryii,WILD,intermediate,species,Urocitellus,RODENTIA,SCIURIDAE,Urocitellus,LC,,
Urocyon cinereoargenteus,YES,Urocyon cinereoargenteus,WILD,not_detected,species,Urocyon,CARNIVORA,CANIDAE,Urocyon,LC,,
Varecia rubra,YES,Varecia rubra,WILD,aberrant,species,Varecia,PRIMATES,LEMURIDAE,Varecia,CR,,
Varecia variegata,YES,Varecia variegata,WILD,aberrant,species,Varecia,PRIMATES,LEMURIDAE,Varecia,CR,,
Vulpes corsac,YES,Vulpes corsac,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes ferrilata,YES,Vulpes ferrilata,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes fulva,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes lagopus,YES,Vulpes lagopus,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes vulpes,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
vulpes vulpes,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes Vulpes,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulpes vulpes schrencki,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Vulples vulpes,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
wild boar,YES,Sus scrofa,WILD,aberrant,species,Sus,CETARTIODACTYLA,SUIDAE,Sus,LC,,
yak,NO,Bos mutus,DOMESTIC,aberrant,species,Bos,CETARTIODACTYLA,BOVIDAE,Bos,NA,,
